資料名稱,小韻號,韻部原貌,最簡描述,反切覈校前,反切,字頭覈校前,字頭,釋義,釋義補充,圖片id
廣韻,2,東,定一東平,徒紅,徒紅,㼿,㼿,井甓一云甃也,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,𦏆,𦏆,無角羊,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,𦍻,𦍻,上同,無角羊,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,眮,眮,目眶又徒摠切,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,蕫,蕫,草名又多動切,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,穜,穜,穜稑先種後熟謂之穜後種先熟謂之稑又音重,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,衕,衕,通街也,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,𩍅,𩍅,靫具飾也,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,𢈉,𢈉,地下應聲,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,䆚,䆚,通䆚也,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,哃,哃,哃𠹔大言,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,𢏕,𢏕,弓飾,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,絧,絧,布名,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,𨚯,𨚯,鄉名,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,𨝯,𨝯,地名又姓,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,𪔝,𪔜,鼓聲,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,𩦶,𩦶,黑虎,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,𪒿,𪒿,黑皃,,上平08左
廣韻,3,東,知三東平,陟弓,陟弓,中,中,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,,上平08左
廣韻,3,東,知三東平,陟弓,陟弓,衷,衷,善也正也適也中也又衷衣褻衣也,,上平08左
廣韻,3,東,知三東平,陟弓,陟弓,忠,忠,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州,,上平08左
廣韻,3,東,知三東平,陟弓,陟弓,𦬕,𦬕,草名又音沖,,上平08左
廣韻,4,東,澄三東平,直弓,直弓,蟲,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七,,上平08左
廣韻,4,東,澄三東平,直弓,直弓,沖,沖,和也深也,,上平08左
廣韻,4,東,澄三東平,直弓,直弓,种,种,稚也或作沖亦姓後漢司徒河南种暠,,上平08左
廣韻,4,東,澄三東平,直弓,直弓,盅,盅,器虛也又敕中切,,上平08左
廣韻,4,東,澄三東平,直弓,直弓,爞,爞,爾雅云爞爞炎炎熏也,,上平08左
廣韻,4,東,澄三東平,直弓,直弓,𦬕,𦬕,草名又音中,,上平08左
廣韻,4,東,澄三東平,直弓,直弓,翀,翀,直上飛也,,上平08左
廣韻,5,東,章三東平,職戎,職戎,終,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,,上平08左
廣韻,5,東,章三東平,職戎,職戎,衆,眾,又之仲切,,上平09右
廣韻,5,東,章三東平,職戎,職戎,潨,潀,小水入大水又徂紅在冬二切,,上平09右
廣韻,5,東,章三東平,職戎,職戎,𣧩,𣧩,歿也,,上平09右
廣韻,5,東,章三東平,職戎,職戎,螽,螽,螽斯蟲也,,上平09右
廣韻,5,東,章三東平,職戎,職戎,𧑄,𧑄,上同,螽斯蟲也,上平09右
廣韻,5,東,章三東平,職戎,職戎,鼨,鼨,豹文鼠也,,上平09右
廣韻,5,東,章三東平,職戎,職戎,蔠,蔠,蔠葵蘩露也,,上平09右
廣韻,5,東,章三東平,職戎,職戎,柊,柊,木名又齊人謂椎爲柊楑也,,上平09右
廣韻,5,東,章三東平,職戎,職戎,𩅧,𩅧,小雨,,上平09右
廣韻,5,東,章三東平,職戎,職戎,䶱,䶱,字書云龜名也,,上平09右
廣韻,5,東,章三東平,職戎,職戎,鴤,鴤,鳥名,,上平09右
廣韻,5,東,章三東平,職戎,職戎,䈺,䈺,篋䈺戎人呼之,,上平09右
廣韻,5,東,章三東平,職戎,職戎,泈,泈,水名在襄陽,,上平09右
廣韻,5,東,章三東平,職戎,職戎,䝦,䝦,獸如豹,,上平09右
廣韻,6,東,徹三東平,敕中,敕中,忡,忡,憂也敕中切三,,上平09右
廣韻,6,東,徹三東平,敕中,敕中,浺,浺,浺瀜水平遠之皃又音蟲,,上平09右
廣韻,6,東,徹三東平,敕中,敕中,盅,盅,器虛也又音蟲,,上平09右
廣韻,7,東,崇三東平,鋤弓,鋤弓,崇,崇,高也敬也就也聚也又姓鋤弓切四,,上平09右
廣韻,7,東,崇三東平,鋤弓,鋤弓,崈,崈,上同,高也敬也就也聚也又姓鋤弓切四,上平09右
廣韻,7,東,崇三東平,鋤弓,鋤弓,㓽,㓽,鍤屬,,上平09右
廣韻,7,東,崇三東平,鋤弓,鋤弓,𩞉,𩞉,饞𩞉貪食也出古今字音,,上平09右
廣韻,8,東,心三東平,息弓,息弓,嵩,嵩,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,,上平09右
廣韻,8,東,心三東平,息弓,息弓,崧,崧,上同,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,上平09右
廣韻,8,東,心三東平,息弓,息弓,𪀚,𪀚,似鷹而小能捕雀也,,上平09右
廣韻,8,東,心三東平,息弓,息弓,娀,娀,有娀氏女簡狄帝嚳次妃吞乙卵生契,,上平09右
廣韻,8,東,心三東平,息弓,息弓,菘,菘,菜名,,上平09右
廣韻,8,東,心三東平,息弓,息弓,硹,硹,地名在遼,,上平09右
廣韻,8,東,心三東平,息弓,息弓,㣝,㣝,姓也,,上平09右
廣韻,8,東,心三東平,息弓,息弓,𧊕,𧊕,蟲名,,上平09右
廣韻,8,東,心三東平,息弓,息弓,䯷,䯷,細毛,,上平09右
廣韻,9,東,日三東平,如融,如融,戎,戎,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,,上平09右
廣韻,9,東,日三東平,如融,如融,𢦦,𢦦,上同,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,上平09右
廣韻,9,東,日三東平,如融,如融,茙,茙,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也,,上平09右
廣韻,9,東,日三東平,如融,如融,㭜,㭜,木名,,上平09右
廣韻,9,東,日三東平,如融,如融,駥,駥,馬八尺也,,上平09右
廣韻,9,東,日三東平,如融,如融,𥬪,𥬪,小竹可爲矢,,上平09右
廣韻,9,東,日三東平,如融,如融,𠈋,𠈋,𠈋人身有三角也,,上平09右
廣韻,9,東,日三東平,如融,如融,狨,狨,細布,,上平09右
廣韻,9,東,日三東平,如融,如融,絨,絨,上同,細布,上平09右
廣韻,10,東,見三東平,居戎,居戎,弓,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六,,上平09右
廣韻,10,東,見三東平,居戎,居戎,躳,躳,身也親也又姓出姓苑,,上平09右
廣韻,10,東,見三東平,居戎,居戎,躬,躬,上同,身也親也又姓出姓苑,上平09右
廣韻,10,東,見三東平,居戎,居戎,㴦,㴦,縣名在酒泉,,上平09右
廣韻,10,東,見三東平,居戎,居戎,宫,宮,白虎通曰黃帝作宮室以避寒暑宮之言中也世本曰禹作宮亦官名漢書曰少府官有守宮令主御筆墨紙封書泥也又姓左傳虞有宮之奇,,上平09右
廣韻,10,東,見三東平,居戎,居戎,匑,匑,謹敬之皃又音穹,,上平09左
廣韻,11,東,以三東平,以戎,以戎,融,融,和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四,,上平09左
廣韻,11,東,以三東平,以戎,以戎,肜,肜,祭名又敕林切,,上平09左
廣韻,11,東,以三東平,以戎,以戎,瀜,瀜,沖瀜大水皃,,上平09左
廣韻,12,東,云三東平,羽弓,羽弓,雄,雄,雄雌也亦姓舜友有雄陶羽弓切二,,上平09左
廣韻,12,東,云三東平,羽弓,羽弓,熊,熊,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊宜僚又漢複姓左傳楚大夫熊率且比,,上平09左
廣韻,13,東,明三東平,莫中,莫中,瞢,瞢,目不明莫中切六,,上平09左
廣韻,13,東,明三東平,莫中,莫中,夢,夢,說文曰不明也又武仲切,,上平09左
廣韻,13,東,明三東平,莫中,莫中,𨞯,鄸,邑名在曹郡,,上平09左
廣韻,13,東,明三東平,莫中,莫中,懜,懜,慙也國語云君使臣懜,,上平09左
廣韻,13,東,明三東平,莫中,莫中,𦫰,𦫰,𦫰𦫰醜皃,,上平09左
廣韻,13,東,明三東平,莫中,莫中,𧲎,𧲎,獸似豕目在耳出崐崘,,上平09左
廣韻,14,東,溪三東平,去宮,去宮,穹,穹,高也去宮切七,,上平09左
廣韻,14,東,溪三東平,去宮,去宮,𢞏,𢞏,憂也,,上平09左
廣韻,14,東,溪三東平,去宮,去宮,焪,焪,乾也,,上平09左
廣韻,14,東,溪三東平,去宮,去宮,芎,芎,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,,上平09左
廣韻,14,東,溪三東平,去宮,去宮,𦵡,𦵡,上同,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,上平09左
廣韻,14,東,溪三東平,去宮,去宮,匑,匑,謹敬之皃,,上平09左
廣韻,14,東,溪三東平,去宮,去宮,𥳎,𥳎,𥳎籠也又去龍切,,上平09左
廣韻,15,東,羣三東平,渠弓,渠弓,窮,窮,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,,上平09左
廣韻,15,東,羣三東平,渠弓,渠弓,藭,藭,芎藭,,上平09左
廣韻,15,東,羣三東平,渠弓,渠弓,𥨪,𥨪,羿所封國,,上平09左
廣韻,16,東,並三東平,房戎,房戎,馮,馮,馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七,,上平09左
廣韻,16,東,並三東平,房戎,房戎,堸,堸,蟲室,,上平09左
廣韻,16,東,並三東平,房戎,房戎,汎,汎,浮也又孚劒切,,上平09左
廣韻,16,東,並三東平,房戎,房戎,芃,芃,草盛也又音蓬,,上平09左
廣韻,16,東,並三東平,房戎,房戎,𨝭,𨝭,姬姓之國,,上平09左
廣韻,16,東,並三東平,房戎,房戎,渢,渢,弘大聲也,,上平09左
廣韻,16,東,並三東平,房戎,房戎,梵,梵,木得風皃又防泛切,,上平09左
廣韻,17,東,幫三東平,方戎,方戎,風,風,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七,,上平09左
廣韻,17,東,幫三東平,方戎,方戎,飌,飌,古文,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七,上平09左
廣韻,17,東,幫三東平,方戎,方戎,楓,楓,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝高三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄,,上平09左
廣韻,17,東,幫三東平,方戎,方戎,猦,猦,猦母狀如猿逢人則叩頭小打便死得風還活出異物志,,上平09左
廣韻,17,東,幫三東平,方戎,方戎,偑,偑,地名,,上平10右
廣韻,17,東,幫三東平,方戎,方戎,檒,檒,檒梵聲也,,上平10右
廣韻,17,東,幫三東平,方戎,方戎,𧆉,𧆉,竹名出南海,,上平10右
廣韻,18,東,滂三東平,敷空,敷空,豐,豐,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八,,上平10右
廣韻,18,東,滂三東平,敷空,敷空,酆,酆,邑名亦姓左傳有狄相酆舒,,上平10右
廣韻,18,東,滂三東平,敷空,敷空,蘴,蘴,蕪菁苗也,,上平10右
廣韻,18,東,滂三東平,敷空,敷空,灃,灃,水名在咸陽,,上平10右
廣韻,18,東,滂三東平,敷空,敷空,寷,寷,大屋,,上平10右
廣韻,18,東,滂三東平,敷空,敷空,麷,麷,煑麥,,上平10右
廣韻,18,東,滂三東平,敷空,敷空,㒥,㒥,偓㒥仙人,,上平10右
廣韻,18,東,滂三東平,敷空,敷空,㠦,㠦,山名,,上平10右
廣韻,19,東,昌三東平,昌終,昌終,充,充,美也塞也行也滿也昌終切七,,上平10右
廣韻,19,東,昌三東平,昌終,昌終,珫,珫,珫耳玉名詩傳云充耳謂之瑱字俗從玉,,上平10右
廣韻,19,東,昌三東平,昌終,昌終,茺,茺,茺蔚草也,,上平10右
廣韻,19,東,昌三東平,昌終,昌終,㤝,㤝,心動,,上平10右
廣韻,19,東,昌三東平,昌終,昌終,䘪,䘪,䘪襌衣也,,上平10右
廣韻,19,東,昌三東平,昌終,昌終,𪎽,𪎽,黃色又音統,,上平10右
廣韻,19,東,昌三東平,昌終,昌終,㳘,㳘,水聲,,上平10右
廣韻,20,東,來三東平,力中,力中,隆,隆,盛也豐也大也力中切六,,上平10右
廣韻,20,東,來三東平,力中,力中,癃,癃,病也亦作𤸇,,上平10右
廣韻,20,東,來三東平,力中,力中,𪔳,𪔳,鼓聲俗作𪔴,,上平10右
廣韻,20,東,來三東平,力中,力中,窿,窿,穹隆天勢俗加穴,,上平10右
廣韻,20,東,來三東平,力中,力中,霳,霳,豐隆雷師俗加雨,,上平10右
廣韻,20,東,來三東平,力中,力中,㚅,㚅,多㚅礼天,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,空,空,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,箜,箜,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,崆,崆,崆峒,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,椌,椌,器物朴也又丘江切,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,硿,硿,硿青色石也,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,䅝,䅝,稻稈,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,悾,悾,悾悾信也愨也,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,埪,埪,土埪龕也,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,倥,倥,倥侗,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,涳,涳,涳濛小雨又口江切,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,鵼,鵼,怪鳥出字統,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,𦱇,𦱇,𦱇心草也,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,𢃐,𢃐,衣袂,,上平10右
廣韻,21,東,溪一東平,苦紅,苦紅,𧌆,𧌆,蟬脫𧌆皮,,上平10右
廣韻,22,東,見一東平,古紅,古紅,公,公,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何藐公父歜公賓庚公思展公鉏極公甲叔子費宰公山弗櫌公甲叔公巫召伯衛有公文要戰國策齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公慎氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙錄有大中大夫公帥式子夏門人齊人公羊高作春秋傳列女傳有公乘之姒墨子魯有公輸班衛大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今高平人衛大夫公南文子魯有公荊皎衛大夫公子荊之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱高宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後呂氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰別傳有渤海公族進階衛大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世鄉秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今高平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衛有庾公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衛有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉世本有大公叔穎又有公紀氏衛有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三,,上平10右
廣韻,22,東,見一東平,古紅,古紅,功,功,功績也說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作㓛,,上平11右
廣韻,22,東,見一東平,古紅,古紅,工,工,官也又工巧也,,上平11右
廣韻,22,東,見一東平,古紅,古紅,疘,疘,文字集略云脫疘下部病也,,上平11右
廣韻,22,東,見一東平,古紅,古紅,蚣,蚣,蜈蚣蟲,,上平11右
廣韻,22,東,見一東平,古紅,古紅,玒,玒,王名又音江,,上平11右
廣韻,22,東,見一東平,古紅,古紅,釭,釭,車釭說文曰車轂中鐵也又古雙切,,上平11右
廣韻,22,東,見一東平,古紅,古紅,魟,魟,䱑魟江蟲形似蟹可食又音烘,,上平11右
廣韻,22,東,見一東平,古紅,古紅,攻,攻,攻擊,,上平11右
廣韻,22,東,見一東平,古紅,古紅,㓚,㓚,銍穫也,,上平11右
廣韻,22,東,見一東平,古紅,古紅,愩,愩,憒也,,上平11右
廣韻,22,東,見一東平,古紅,古紅,碽,碽,擊聲,,上平11右
廣韻,22,東,見一東平,古紅,古紅,篢,篢,篢笠方言,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,蒙,蒙,覆也奄也爾雅釋草曰蒙王女也莫紅切二十七,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,冡,冡,說文覆也,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,濛,濛,涳濛細雨,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,𩦺,𩦺,驢子曰𩦺,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,艨,艨,艨艟戰船又武用切,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,䑃,䑃,大皃,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,矇,矇,矇瞽,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,饛,饛,盛食滿皃,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,䰒,䰒,馬垂鬣也,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,檬,檬,似槐華黃,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,𨢊,𨢊,麴生衣皃,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,䴿,䴿,上同,麴生衣皃,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,𨣘,𨣘,亦上同,麴生衣皃,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,鸏,鸏,鸏䴀鳥也,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,幪,幪,覆也蓋衣也又幪縠,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,罞,罞,爾雅曰麋罟謂之罞,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,𢄐,𢄐,說文云蓋衣也又莫弄切,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,髳,髳,爾雅釋詁曰覭髳茀離也,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,蠓,蠓,蠛蠓似蚊又莫孔切,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,𦿏,𦿏,草可爲帚,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,雺,雺,天氣下地不應曰雺又莫侯切,,上平11右
廣韻,23,東,明一東平,莫紅,莫紅,霿,霿,,天氣下地不應曰雺又莫侯切,上平11左
廣韻,23,東,明一東平,莫紅,莫紅,霚,霚,並上同,天氣下地不應曰雺又莫侯切,上平11左
廣韻,23,東,明一東平,莫紅,莫紅,朦,朦,朦朧月下,,上平11左
廣韻,23,東,明一東平,莫紅,莫紅,䀄,䀄,器滿,,上平11左
廣韻,23,東,明一東平,莫紅,莫紅,懜,懜,心悶闇也,,上平11左
廣韻,23,東,明一東平,莫紅,莫紅,靀,靀,小雨,,上平11左
廣韻,24,東,來一東平,盧紅,盧紅,籠,籠,西京雜記曰漢制天子以象牙爲火籠盧紅切又力董切二十七,,上平11左
